Percentage,Avg_Aleatoric_norm,Avg_Epistemic_norm,Avg_Total_norm,Correlation_Epi_Ale
1,0.32458583,0.25938252,0.5839683,0.8277620650176232
5,0.09047156,0.14180285,0.23227443,0.7891824153136986
10,0.04705764,0.097763,0.14482066,0.758718485723892
15,0.04826603,0.08427702,0.13254306,0.7306951367713382
25,0.028369093,0.065574735,0.09394383,0.7435232934823193
50,0.023938129,0.051654764,0.0755929,0.7712649113469578
100,0.012407858,0.032621093,0.04502895,0.818535147304934
